Alien: Isolation,2014 10 5,81,Action Adventure,Pc Playstation Xbox Android Nintendo
Middle-earth: Shadow of Mordor,2014 9 30,85,Action Rpg, Pc Playstation Xbox
Endless Legend,2014 9 18,82,Rpg Strategy,Pc
The Long Dark,2014 9 22,76,Action Simulation Adventure Indie,Pc Playstation Xbox Nintendo
Metro: Last Light Redux,2014 8 25,76,Action Shooter,Pc Playstation Xbox Nintendo
Motorsport Manager,2014 8 21,81,Strategy Simulation Sports Racing,Pc Android
Murdered: Soul Suspect,2014 6 3,59,Action Adventure Rpg,Pc Playstation Xbox
Transistor,2014 5 20,83,Action Rpg Indie,Pc Playstation Nintendo
Wolfenstein: The New Order,2014 5 19,81,Action Shooter,Pc Playstation Xbox
Child of Light,2014 4 29,77,Rpg Indie,Pc Playstation Xbox Nintendo
Thief,2014 2 25,70,Action Adventure,Pc Playstation Xbox
Tengami,2014 2 20,57,Adventure Indie Puzzle,Pc Android Nintendo
Banished,2014 2 17,73,Strategy Simulation Indie,Pc
The Room Two,2013 12 12,88,Indie Puzzle,Pc Android
Broken Age,2014 1 28,82,Adventure Indie Puzzle,Pc Playstation Xbox Android
The Stanley Parable,2013 10 17,88,Adventure Indie,Pc
Democracy 3,2013 10 14,70,Strategy Simulation Indie,Pc
Amnesia: A Machine for Pigs,2013 9 9,72,Action Adventure Indie,Pc
Europa Universalis IV,2013 8 13,87,Strategy,Pc
War Thunder,2013 8 15,81,Action Shooter Mmo,Pc Playstation Xbox
Gone Home,2013 8 14,86,Adventure Indie,Pc Playstation Nintendo
